Cuadro 1. Accesos a internet fijos por categoria. Total del país. Enero 2015-Junio 2023;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Período;;Total;Variación interanual;Residencial;Variación interanual;Organizaciones;Variación interanual;;;;;;;;
;;;%;;%;;%;;;;;;;;
2015;1º trimestre;6.611.407;///;6.091.530;///;519.877;///;;;;;;;;
;Enero;6.603.015;///;6.085.189;///;517.826;///;;;;;;;;
;Febrero;6.604.069;///;6.085.150;///;518.919;///;;;;;;;;
;Marzo;6.627.135;///;6.104.250;///;522.885;///;;;;;;;;
;2 º trimestre;6.688.872;///;6.156.140;///;532.732;///;;;;;;;;
;Abril;6.648.922;///;6.119.455;///;529.467;///;;;;;;;;
;Mayo;6.681.314;///;6.148.681;///;532.633;///;;;;;;;;
;Junio;6.736.378;///;6.200.283;///;536.095;///;;;;;;;;
;3º trimestre;6.806.015;///;6.262.882;///;543.133;///;;;;;;;;
;Julio;6.775.844;///;6.235.734;///;540.110;///;;;;;;;;
;Agosto;6.802.722;///;6.259.664;///;543.058;///;;;;;;;;
;Septiembre;6.839.478;///;6.293.247;///;546.231;///;;;;;;;;
;4º trimestre;6.888.591;///;6.337.884;///;550.707;///;;;;;;;;
;Octubre;6.872.695;///;6.323.749;///;548.946;///;;;;;;;;
;Noviembre;6.886.764;///;6.335.573;///;551.191;///;;;;;;;;
;Diciembre;6.906.315;///;6.354.330;///;551.985;///;;;;;;;;
2016;1º trimestre;6.966.129;5,4;6.397.978;5,0;568.151;9,3;;;;;;;;
;Enero;6.956.100;5,3;6.387.157;5,0;568.943;9,9;;;;;;;;
;Febrero;6.962.612;5,4;6.394.688;5,1;567.924;9,4;;;;;;;;
;Marzo;6.979.674;5,3;6.412.089;5,0;567.585;8,5;;;;;;;;
;2 º trimestre;7.048.565;5,4;6.458.112;4,9;590.453;10,8;;;;;;;;
;Abril;7.019.528;5,6;6.430.537;5,1;588.991;11,2;;;;;;;;
;Mayo;7.050.163;5,5;6.459.166;5,0;590.997;11,0;;;;;;;;
;Junio;7.076.005;5,0;6.484.633;4,6;591.372;10,3;;;;;;;;
;3º trimestre;7.117.612;4,6;6.525.416;4,2;592.196;9,0;;;;;;;;
;Julio;7.088.995;4,6;6.496.766;4,2;592.229;9,6;;;;;;;;
;Agosto;7.116.326;4,6;6.524.363;4,2;591.963;9,0;;;;;;;;
;Septiembre;7.147.517;4,5;6.555.120;4,2;592.397;8,5;;;;;;;;
;4º trimestre;7.150.187;3,8;6.556.731;3,5;593.456;7,8;;;;;;;;
;Octubre;7.162.737;4,2;6.564.861;3,8;597.876;8,9;;;;;;;;
;Noviembre;7.152.940;3,9;6.560.017;3,5;592.923;7,6;;;;;;;;
;Diciembre;7.134.882;3,3;6.545.314;3,0;589.568;6,8;;;;;;;;
2017;1º trimestre;7.134.869;2,4;6.545.650;2,3;589.219;3,7;;;;;;;;
;Enero;7.128.784;2,5;6.548.113;2,5;580.671;2,1;;;;;;;;
;Febrero;7.134.995;2,5;6.540.929;2,3;594.066;4,6;;;;;;;;
;Marzo;7.140.829;2,3;6.547.909;2,1;592.920;4,5;;;;;;;;
;2 º trimestre;7.175.809;1,8;6.586.309;2,0;589.500;-0,2;;;;;;;;
;Abril;7.169.558;2,1;6.575.697;2,3;593.861;0,8;;;;;;;;
;Mayo;7.171.412;1,7;6.584.667;1,9;586.745;-0,7;;;;;;;;
;Junio;7.186.456;1,6;6.598.563;1,8;587.893;-0,6;;;;;;;;
;3º trimestre;7.216.990;1,4;6.645.406;1,8;571.584;-3,5;;;;;;;;
;Julio;7.184.129;1,3;6.601.238;1,6;582.891;-1,6;;;;;;;;
;Agosto;7.201.826;1,2;6.635.179;1,7;566.647;-4,3;;;;;;;;
;Septiembre;7.265.017;1,6;6.699.802;2,2;565.215;-4,6;;;;;;;;
;4º trimestre;7.325.597;2,5;6.760.896;3,1;564.701;-4,8;;;;;;;;
;Octubre;7.298.250;1,9;6.732.797;2,6;565.453;-5,4;;;;;;;;
;Noviembre;7.324.569;2,4;6.760.207;3,1;564.362;-4,8;;;;;;;;
;Diciembre;7.353.970;3,1;6.789.683;3,7;564.287;-4,3;;;;;;;;
2018;1º trimestre;7.367.070;3,3;6.804.515;4,0;562.555;-4,5;;;;;;;;
;Enero;7.354.525;3,2;6.790.450;3,7;564.075;-2,9;;;;;;;;
;Febrero;7.370.362;3,3;6.808.460;4,1;561.902;-5,4;;;;;;;;
;Marzo;7.376.322;3,3;6.814.635;4,1;561.687;-5,3;;;;;;;;
;2 º trimestre;7.414.377;3,3;6.854.878;4,1;559.499;-5,1;;;;;;;;
;Abril;7.396.762;3,2;6.835.476;4,0;561.286;-5,5;;;;;;;;
;Mayo;7.410.696;3,3;6.852.154;4,1;558.542;-4,8;;;;;;;;
;Junio;7.435.673;3,5;6.877.004;4,2;558.669;-5,0;;;;;;;;
;3º trimestre;7.452.167;3,3;6.898.415;3,8;553.752;-3,1;;;;;;;;
;Julio;7.450.022;3,7;6.894.157;4,4;555.865;-4,6;;;;;;;;
;Agosto;7.443.730;3,4;6.892.124;3,9;551.606;-2,7;;;;;;;;
;Septiembre;7.462.750;2,7;6.908.965;3,1;553.785;-2,0;;;;;;;;
;4º trimestre;7.466.813;1,9;6.921.506;2,4;545.307;-3,4;;;;;;;;
;Octubre;7.467.203;2,3;6.917.031;2,7;550.172;-2,7;;;;;;;;
;Noviembre;7.454.909;1,8;6.908.537;2,2;546.372;-3,2;;;;;;;;
;Diciembre;7.478.327;1,7;6.938.950;2,2;539.377;-4,4;;;;;;;;
2019;1º trimestre;7.456.627;1,2;6.916.873;1,7;539.754;-4,1;;;;;;;;
;Enero;7.459.631;1,4;6.917.757;1,9;541.874;-3,9;;;;;;;;
;Febrero;7.445.014;1,0;6.906.376;1,4;538.638;-4,1;;;;;;;;
;Marzo;7.465.236;1,2;6.926.485;1,6;538.751;-4,1;;;;;;;;
;2 º trimestre;7.486.520;1,0;6.950.118;1,4;536.402;-4,1;;;;;;;;
;Abril;7.470.254;1,0;6.933.312;1,4;536.942;-4,3;;;;;;;;
;Mayo;7.490.212;1,1;6.953.208;1,5;537.004;-3,9;;;;;;;;
;Junio;7.499.094;0,9;6.963.834;1,3;535.260;-4,2;;;;;;;;
;3 º trimestre;7.512.968;0,8;6.981.738;1,2;531.230;-4,1;;;;;;;;
;Julio;7.482.138;0,4;6.949.273;0,8;532.865;-4,1;;;;;;;;
;Agosto;7.517.171;1,0;6.989.628;1,4;527.543;-4,4;;;;;;;;
;Septiembre;7.539.596;1,0;7.006.314;1,4;533.282;-3,7;;;;;;;;
;4º trimestre;7.526.700;0,8;7.007.287;1,2;519.413;-4,7;;;;;;;;
;Octubre;7.540.850;1,0;7.011.285;1,4;529.565;-3,7;;;;;;;;
;Noviembre;7.527.881;1,0;7.009.989;1,5;517.892;-5,2;;;;;;;;
;Diciembre;7.511.371;0,4;7.000.588;0,9;510.783;-5,3;;;;;;;;
2020;1º trimestre;7.475.515;0,3;6.971.568;0,8;503.947;-6,6;;;;;;;;
;Enero;7.494.764;0,5;6.986.877;1,0;507.887;-6,3;;;;;;;;
;Febrero;7.480.346;0,5;6.976.141;1,0;504.205;-6,4;;;;;;;;
;Marzo;7.451.435;-0,2;6.951.685;0,4;499.750;-7,2;;;;;;;;
;2 º trimestre;7.444.949;-0,6;6.962.299;0,2;482.650;-10,0;;;;;;;;
;Abril;7.373.626;-1,3;6.881.887;-0,7;491.739;-8,4;;;;;;;;
;Mayo;7.471.756;-0,2;6.988.020;0,5;483.736;-9,9;;;;;;;;
;Junio;7.489.466;-0,1;7.016.990;0,8;472.476;-11,7;;;;;;;;
;3 º trimestre;7.583.842;0,9;7.127.038;2,1;456.804;-14,0;;;;;;;;
;Julio;7.530.396;0,6;7.067.474;1,7;462.922;-13,1;;;;;;;;
;Agosto;7.586.512;0,9;7.128.595;2,0;457.917;-13,2;;;;;;;;
;Septiembre;7.634.618;1,3;7.185.044;2,6;449.574;-15,7;;;;;;;;
;4º trimestre;7.664.716;1,8;7.223.835;3,1;440.881;-15,1;;;;;;;;
;Octubre;7.653.500;1,5;7.209.115;2,8;444.385;-16,1;;;;;;;;
;Noviembre;7.660.764;1,8;7.219.175;3,0;441.589;-14,7;;;;;;;;
;Diciembre;7.679.884;2,2;7.243.215;3,5;436.669;-14,5;;;;;;;;
2021;1º trimestre;7.683.936;2,8;7.252.686;4,0;431.250;-14,4;;;;;;;;
;Enero;7.665.599;2,3;7.231.128;3,5;434.471;-14,5;;;;;;;;
;Febrero;7.688.400;2,8;7.258.483;4,0;429.917;-14,7;;;;;;;;
;Marzo;7.697.809;3,3;7.268.447;4,6;429.362;-14,1;;;;;;;;
;2 º trimestre;7.766.004;4,3;7.339.330;5,4;426.674;-11,6;;;;;;;;
;Abril;7.759.331;5,2;7.328.789;6,5;430.542;-12,4;;;;;;;;
;Mayo;7.759.571;3,9;7.333.868;4,9;425.703;-12,0;;;;;;;;
;Junio;7.779.109;3,9;7.355.333;4,8;423.776;-10,3;;;;;;;;
;3 º trimestre*;7.795.612;2,8;7.377.834;3,5;417.778;-8,5;;;;;;;;
;Julio;7.793.200;3,5;7.372.749;4,3;420.451;-9,2;;;;;;;;
;Agosto;7.797.929;2,8;7.381.302;3,5;416.627;-9,0;;;;;;;;
;Septiembre;7.795.707;2,1;7.379.450;2,7;416.257;-7,4;;;;;;;;
;4 º trimestre*;7.840.411;2,3;7.419.595;2,7;420.816;-4,6;;;;;;;;
;Octubre;7.836.208;2,4;7.419.704;2,9;416.504;-6,3;;;;;;;;
;Noviembre;7.839.845;2,3;7.416.642;2,7;423.203;-4,2;;;;;;;;
;Diciembre;7.845.179;2,2;7.422.438;2,5;422.741;-3,2;;;;;;;;
2022*;1º trimestre;7.849.457;2,2;7.432.732;2,5;416.725;-3,4;;;;;;;;
;Enero;7.831.866;2,2;7.410.847;2,5;421.019;-3,1;;;;;;;;
;Febrero;7.858.249;2,2;7.440.011;2,5;418.238;-2,7;;;;;;;;
;Marzo;7.858.258;2,1;7.447.339;2,5;410.919;-4,3;;;;;;;;
;2 º trimestre;7.888.593;1,6;7.477.302;1,9;411.291;-3,6;;;;;;;;
;Abril;7.874.488;1,5;7.463.285;1,8;411.203;-4,5;;;;;;;;
;Mayo;7.895.114;1,7;7.482.841;2,0;412.273;-3,2;;;;;;;;
;Junio;7.896.177;1,5;7.485.779;1,8;410.398;-3,2;;;;;;;;
;3 º trimestre;7.915.077;1,5;7.516.997;1,9;398.080;-4,7;;;;;;;;
;Julio;7.896.601;1,3;7.498.128;1,7;398.473;-5,2;;;;;;;;
;Agosto;7.914.194;1,5;7.516.044;1,8;398.150;-4,4;;;;;;;;
;Septiembre;7.934.434;1,8;7.536.818;2,1;397.616;-4,5;;;;;;;;
;4 º trimestre;7.946.140;1,3;7.549.702;1,8;396.438;-5,8;;;;;;;;
;Octubre;7.934.360;1,3;7.537.400;1,6;396.960;-4,7;;;;;;;;
;Noviembre;7.954.922;1,5;7.558.957;1,9;395.965;-6,4;;;;;;;;
;Diciembre;7.949.138;1,3;7.552.749;1,8;396.389;-6,2;;;;;;;;
2023*;1º trimestre;7.964.371;1,5;7.567.300;1,8;397.071;-4,7;;;;;;;;
;Enero;8.017.929;2,4;7.620.477;2,8;397.452;-5,6;;;;;;;;
;Febrero;7.921.273;0,8;7.525.421;1,1;395.852;-5,4;;;;;;;;
;Marzo;7.953.913;1,2;7.556.003;1,5;397.910;-3,2;;;;;;;;
;2 º trimestre;7.995.291;1,4;7.595.252;1,6;400.039;-2,7;;;;;;;;
;Abril;7.975.740;1,3;7.577.120;1,5;398.620;-3,1;;;;;;;;
;Mayo;7.991.684;1,2;7.592.830;1,5;398.854;-3,3;;;;;;;;
;Junio;8.018.449;1,5;7.615.806;1,7;402.643;-1,9;;;;;;;;
;;;;;;;;;;;;;;;
"Nota: el total trimestral para cada categoría surge del promedio de los valores mensuales; y por lo tanto, los totales por suma pueden no coincidir por redondeo en las cifras parciales.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Fuente: INDEC. Dirección Nacional de Estadísticas Económicas. Dirección de Estadísticas del Comercio y Servicios.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
