A̱o,Trimestre,Accesos telefonia fija por cada 100 hab,Accesos telefonia fija por cada 100 hogares
2022,4,1546,4974
2022,3,1546,4979
2022,2,1557,5018
2022,1,1597,5152
2021,4,1674,5388
2021,3,1541,4964
2021,2,1562,5035
2021,1,1592,5136
2020,4,1616,5203
2020,3,1635,5268
2020,2,1646,5306
2020,1,1670,5389
2019,4,1720,5555
2019,3,1753,5666
2019,2,1811,5855
2019,1,1859,6016
2018,4,2195,7107
2018,3,2175,7049
2018,2,2177,7078
2018,1,2180,7074
2017,4,2344,7632
2017,3,2320,7553
2017,2,2383,7765
2017,1,2357,7686
2016,4,2344,7632
2016,3,2320,7553
2016,2,2383,7765
2016,1,2357,7686
2015,4,2303,7517
2015,3,2326,7603
2015,2,2318,7587
2015,1,2347,7689
2014,4,2261,7416
2014,3,2249,7386
2014,2,2240,7365
2014,1,2249,7404
