AÃ±o,Trimestre,Provincia,Accesos telefonia fija (total),Accesos telefonia fija (hogares),Accesos telefonia fija (comercial),Accesos telefonia fija (gobierno),Accesos telefonia fija (otros)
2022,4,Buenos Aires,3128431,2802796,264038,12029,49568
2022,4,Capital Federal,1563142,1400437,131928,601,24767
2022,4,Catamarca,25083,22473,2117,960,3970
2022,4,Chaco,64683,57950,5459,2490,1025
2022,4,Chubut,54249,48601,4579,2090,8600
2022,4,CÃ³rdoba,495095,443560,41786,1904,7845
2022,4,Corrientes,89013,79748,7513,3420,141
2022,4,Entre RÃ­os,160151,143480,13517,6160,2538
2022,4,Formosa,35186,31523,297,1350,5580
2022,4,Jujuy,35655,31944,3009,1370,5650
2022,4,La Pampa,66351,59445,56,2550,1051
2022,4,La Rioja,25586,22924,2159,980,4050
2022,4,Mendoza,162938,145977,13752,6270,2582
2022,4,Misiones,76346,68398,6444,2940,121
2022,4,NeuquÃ©n,68693,61543,5798,2640,1088
2022,4,RÃ­o Negro,67359,60348,5685,2590,1067
2022,4,Salta,86362,77373,7289,3320,1368
2022,4,San Juan,52803,47306,4457,2030,8370
2022,4,San Luis,27706,24822,2338,1070,4390
2022,4,Santa Cruz,22986,20594,194,880,3640
2022,4,Santa Fe,490492,439437,41397,1886,7772
2022,4,Santiago del Estero,64909,58153,5478,2500,1028
2022,4,Tierra del Fuego,14833,13289,1252,570,2350
2022,4,TucumÃ¡n,162823,145875,13742,6260,258
2022,3,Buenos Aires,3116760,2791694,26504,11756,4827
2022,3,Capital Federal,1567975,1404441,133336,5914,24284
2022,3,Catamarca,25646,22971,2181,970,3970
2022,3,Chaco,65551,58715,5574,2470,1015
2022,3,Chubut,58697,52576,4991,2210,9090
2022,3,CÃ³rdoba,486942,436156,41408,1837,7541
2022,3,Corrientes,89977,80594,7651,3390,1393
2022,3,Entre RÃ­os,157201,140805,13368,5930,2435
2022,3,Formosa,35254,31577,2998,1330,5460
2022,3,Jujuy,36008,32252,3062,1360,5580
2022,3,La Pampa,66212,59307,563,2500,1025
2022,3,La Rioja,25447,22793,2164,960,3940
2022,3,Mendoza,138458,124018,11774,5220,2144
2022,3,Misiones,76605,68616,6514,2890,1186
2022,3,NeuquÃ©n,73079,65457,6214,2760,1132
2022,3,RÃ­o Negro,65111,58320,5537,2460,1008
2022,3,Salta,87776,78622,7464,3310,1359
2022,3,San Juan,60588,54269,5152,2290,9380
2022,3,San Luis,25373,22726,2158,960,3930
2022,3,Santa Cruz,22797,20419,1939,860,3530
2022,3,Santa Fe,497685,445778,42322,1877,7708
2022,3,Santiago del Estero,62622,56091,5325,2360,9700
2022,3,Tierra del Fuego,19122,17128,1626,720,2960
2022,3,TucumÃ¡n,163764,146684,13926,6180,2536
2022,2,Buenos Aires,3128431,2802796,264038,12029,49568
2022,2,Capital Federal,1563142,1400437,131928,601,24767
2022,2,Catamarca,25083,22473,2117,960,3970
2022,2,Chaco,64683,57950,5459,2490,1025
2022,2,Chubut,54249,48601,4579,2090,8600
2022,2,CÃ³rdoba,495095,443560,41786,1904,7845
2022,2,Corrientes,89013,79748,7513,3420,141
2022,2,Entre RÃ­os,160151,143480,13517,6160,2538
2022,2,Formosa,35186,31523,297,1350,5580
2022,2,Jujuy,35655,31944,3009,1370,5650
2022,2,La Pampa,66351,59445,56,2550,1051
2022,2,La Rioja,25586,22924,2159,980,4050
2022,2,Mendoza,162938,145977,13752,6270,2582
2022,2,Misiones,76346,68398,6444,2940,121
2022,2,NeuquÃ©n,68693,61543,5798,2640,1088
2022,2,RÃ­o Negro,67359,60348,5685,2590,1067
2022,2,Salta,86362,77373,7289,3320,1368
2022,2,San Juan,52803,47306,4457,2030,8370
2022,2,San Luis,27706,24822,2338,1070,4390
2022,2,Santa Cruz,22986,20594,194,880,3640
2022,2,Santa Fe,490492,439437,41397,1886,7772
2022,2,Santiago del Estero,64909,58153,5478,2500,1028
2022,2,Tierra del Fuego,14833,13289,1252,570,2350
2022,2,TucumÃ¡n,162823,145875,13742,6260,258
2022,1,Buenos Aires,3062075,2735498,266125,11364,49088
2022,1,Capital Federal,1432318,1279557,124483,5316,22962
2022,1,Catamarca,30156,26940,2621,1120,4830
2022,1,Chaco,84821,75774,7372,3150,136
2022,1,Chubut,61117,54598,5312,2270,9800
2022,1,CÃ³rdoba,578691,516972,50294,2148,9277
2022,1,Corrientes,88933,79448,7729,3300,1426
2022,1,Entre RÃ­os,189614,169391,16479,7040,304
2022,1,Formosa,33824,30216,294,1260,5420
2022,1,Jujuy,48682,43490,4231,1810,7800
2022,1,La Pampa,68620,61301,5964,2550,11
2022,1,La Rioja,27488,24556,2389,1020,4410
2022,1,Mendoza,163637,146185,14222,6070,2623
2022,1,Misiones,91333,81592,7938,3390,1464
2022,1,NeuquÃ©n,65843,58821,5722,2440,1056
2022,1,RÃ­o Negro,71369,63757,6203,2650,1144
2022,1,Salta,109054,97423,9478,4050,1748
2022,1,San Juan,62767,56073,5455,2330,1006
2022,1,San Luis,30071,26864,2613,1120,4820
2022,1,Santa Cruz,23766,21232,2065,880,3810
2022,1,Santa Fe,628606,561564,54632,2333,10077
2022,1,Santiago del Estero,67503,60303,5867,2510,1082
2022,1,Tierra del Fuego,17966,16050,1561,670,2880
2022,1,TucumÃ¡n,184951,165226,16074,6860,2965
2021,4,Buenos Aires,3313370,3012453,234051,14886,5198
2021,4,Capital Federal,1439097,1308400,101656,6465,22576
2021,4,Catamarca,29635,26944,2093,1330,4650
2021,4,Chaco,90829,82580,6416,4080,1425
2021,4,Chubut,68209,62015,4818,3060,107
2021,4,CÃ³rdoba,583715,530703,41233,2622,9157
2021,4,Corrientes,97971,89073,6921,4400,1537
2021,4,Entre RÃ­os,207536,188688,1466,9320,3256
2021,4,Formosa,36411,33104,2572,1640,5710
2021,4,Jujuy,44258,40239,3126,1990,6940
2021,4,La Pampa,71751,65235,5068,3220,1126
2021,4,La Rioja,26765,24334,1891,1200,4200
2021,4,Mendoza,204522,185947,14447,9190,3209
2021,4,Misiones,98622,89666,6966,4430,1547
2021,4,NeuquÃ©n,72616,66022,5129,3260,1139
2021,4,RÃ­o Negro,86287,78450,6095,3880,1354
2021,4,Salta,120291,109367,8497,5400,1887
2021,4,San Juan,66631,60580,4707,2990,1045
2021,4,San Luis,33020,30022,2332,1480,5180
2021,4,Santa Cruz,27740,25220,196,1250,4350
2021,4,Santa Fe,655796,596238,46324,2946,10288
2021,4,Santiago del Estero,66649,60596,4708,2990,1046
2021,4,Tierra del Fuego,18937,17217,1338,850,2970
2021,4,TucumÃ¡n,165702,150653,11705,7440,26
2021,3,Buenos Aires,3164518,2852029,242423,15465,54601
2021,3,Capital Federal,1367485,1232448,104759,6683,23595
2021,3,Catamarca,24683,22245,1891,1210,4260
2021,3,Chaco,73770,66485,5651,3610,1273
2021,3,Chubut,73086,65869,5599,3570,1261
2021,3,CÃ³rdoba,484017,436222,37079,2365,8351
2021,3,Corrientes,78053,70346,5979,3810,1347
2021,3,Entre RÃ­os,164023,147826,12565,8020,283
2021,3,Formosa,30471,27462,2334,1490,5260
2021,3,Jujuy,35160,31688,2693,1720,6070
2021,3,La Pampa,71728,64644,5495,3510,1238
2021,3,La Rioja,21614,19479,1656,1060,3730
2021,3,Mendoza,196028,176671,15017,9580,3382
2021,3,Misiones,78868,71080,6042,3850,1361
2021,3,NeuquÃ©n,74203,66876,5684,3630,128
2021,3,RÃ­o Negro,83724,75456,6414,4090,1445
2021,3,Salta,93818,84554,7187,4580,1619
2021,3,San Juan,74837,67447,5733,3660,1291
2021,3,San Luis,34431,31031,2638,1680,5940
2021,3,Santa Cruz,26961,24299,2065,1320,4650
2021,3,Santa Fe,539814,486509,41353,2638,9314
2021,3,Santiago del Estero,57376,51711,4395,2800,9900
2021,3,Tierra del Fuego,21573,19443,1653,1050,3720
2021,3,TucumÃ¡n,133062,119923,10193,6500,2296
2021,2,Buenos Aires,3313370,3012453,234051,14886,5198
2021,2,Capital Federal,1439097,1308400,101656,6465,22576
2021,2,Catamarca,29635,26944,2093,1330,4650
2021,2,Chaco,90829,82580,6416,4080,1425
2021,2,Chubut,68209,62015,4818,3060,107
2021,2,CÃ³rdoba,583715,530703,41233,2622,9157
2021,2,Corrientes,97971,89073,6921,4400,1537
2021,2,Entre RÃ­os,207536,188688,1466,9320,3256
2021,2,Formosa,36411,33104,2572,1640,5710
2021,2,Jujuy,44258,40239,3126,1990,6940
2021,2,La Pampa,71751,65235,5068,3220,1126
2021,2,La Rioja,26765,24334,1891,1200,4200
2021,2,Mendoza,204522,185947,14447,9190,3209
2021,2,Misiones,98622,89666,6966,4430,1547
2021,2,NeuquÃ©n,72616,66022,5129,3260,1139
2021,2,RÃ­o Negro,86287,78450,6095,3880,1354
2021,2,Salta,120291,109367,8497,5400,1887
2021,2,San Juan,66631,60580,4707,2990,1045
2021,2,San Luis,33020,30022,2332,1480,5180
2021,2,Santa Cruz,27740,25220,196,1250,4350
2021,2,Santa Fe,655796,596238,46324,2946,10288
2021,2,Santiago del Estero,66649,60596,4708,2990,1046
2021,2,Tierra del Fuego,18937,17217,1338,850,2970
2021,2,TucumÃ¡n,165702,150653,11705,7440,26
2021,1,Buenos Aires,3203761,2874157,247958,15146,665
2021,1,Capital Federal,1395627,1252044,108016,6598,28969
2021,1,Catamarca,26597,23860,2059,1260,5520
2021,1,Chaco,75834,68032,5869,3590,1574
2021,1,Chubut,73068,65551,5655,3450,1517
2021,1,CÃ³rdoba,523748,469865,40536,2476,10871
2021,1,Corrientes,78850,70737,6103,3730,1637
2021,1,Entre RÃ­os,168446,151117,13037,7960,3496
2021,1,Formosa,31265,28048,242,1480,6490
2021,1,Jujuy,42953,38534,3324,2030,8920
2021,1,La Pampa,71152,63832,5507,3360,1477
2021,1,La Rioja,24254,21759,1877,1150,5030
2021,1,Mendoza,196315,176118,15194,9280,4075
2021,1,Misiones,82076,73632,6352,3880,1704
2021,1,NeuquÃ©n,74404,66749,5759,3520,1544
2021,1,RÃ­o Negro,82669,74164,6398,3910,1716
2021,1,Salta,96214,86315,7447,4550,1997
2021,1,San Juan,74837,67138,5792,3540,1553
2021,1,San Luis,34431,30888,2665,1630,7150
2021,1,Santa Cruz,26930,24160,2084,1270,5590
2021,1,Santa Fe,570118,511464,44125,2695,11834
2021,1,Santiago del Estero,62157,55762,4811,2940,129
2021,1,Tierra del Fuego,21573,19353,167,1020,4480
2021,1,TucumÃ¡n,163185,146397,1263,7710,3387
2020,4,Buenos Aires,3232457,2906464,254292,14992,56709
2020,4,Capital Federal,1423882,1280284,112014,6604,2498
2020,4,Catamarca,33525,30145,2637,1550,5880
2020,4,Chaco,81113,72933,6381,3760,1423
2020,4,Chubut,73019,65655,5744,3390,1281
2020,4,CÃ³rdoba,535102,481136,42096,2482,9388
2020,4,Corrientes,85319,76714,6712,3960,1497
2020,4,Entre RÃ­os,178988,160937,14081,8300,314
2020,4,Formosa,34057,30623,2679,1580,5970
2020,4,Jujuy,45686,41079,3594,2120,8010
2020,4,La Pampa,70628,63505,5556,3280,1239
2020,4,La Rioja,29306,26351,2305,1360,5140
2020,4,Mendoza,196388,176583,15449,9110,3445
2020,4,Misiones,85762,77112,6747,3980,1505
2020,4,NeuquÃ©n,74546,67028,5864,3460,1308
2020,4,RÃ­o Negro,84513,75990,6648,3920,1483
2020,4,Salta,101610,91363,7993,4710,1783
2020,4,San Juan,74837,67290,5887,3470,1313
2020,4,San Luis,34431,30958,2709,1600,6040
2020,4,Santa Cruz,27239,24492,2143,1260,4780
2020,4,Santa Fe,592374,532634,46601,2747,10392
2020,4,Santiago del Estero,66338,59647,5219,3080,1164
2020,4,Tierra del Fuego,21573,19398,1697,1000,3780
2020,4,TucumÃ¡n,181343,163055,14266,8410,3181
2020,3,Buenos Aires,3233324,2919939,236054,15784,61547
2020,3,Capital Federal,1433000,1294110,104618,6995,27277
2020,3,Catamarca,33596,30339,2453,1640,6400
2020,3,Chaco,82542,74542,6026,4030,1571
2020,3,Chubut,72950,65879,5326,3560,1389
2020,3,CÃ³rdoba,549383,496134,40109,2682,10458
2020,3,Corrientes,86349,77979,6304,4220,1644
2020,3,Entre RÃ­os,181304,163732,13236,8850,3451
2020,3,Formosa,34864,31485,2545,1700,6640
2020,3,Jujuy,46331,41841,3382,2260,8820
2020,3,La Pampa,70536,63699,515,3440,1343
2020,3,La Rioja,29404,26553,2147,1440,5600
2020,3,Mendoza,196383,177349,14337,9590,3738
2020,3,Misiones,88884,80269,6489,4340,1692
2020,3,NeuquÃ©n,74481,67261,5438,3640,1418
2020,3,RÃ­o Negro,85239,76977,6223,4160,1623
2020,3,Salta,103159,93160,7531,5040,1964
2020,3,San Juan,74844,67590,5464,3650,1425
2020,3,San Luis,34436,31098,2514,1680,6560
2020,3,Santa Cruz,27279,24635,1992,1330,5190
2020,3,Santa Fe,624379,563862,45584,3048,11885
2020,3,Santiago del Estero,66338,59908,4843,3240,1263
2020,3,Tierra del Fuego,21573,19482,1575,1050,4110
2020,3,TucumÃ¡n,181967,164330,13285,8880,3464
2020,2,Buenos Aires,3232457,2906464,254292,14992,56709
2020,2,Capital Federal,1423882,1280284,112014,6604,2498
2020,2,Catamarca,33525,30145,2637,1550,5880
2020,2,Chaco,81113,72933,6381,3760,1423
2020,2,Chubut,73019,65655,5744,3390,1281
2020,2,CÃ³rdoba,535102,481136,42096,2482,9388
2020,2,Corrientes,85319,76714,6712,3960,1497
2020,2,Entre RÃ­os,178988,160937,14081,8300,314
2020,2,Formosa,34057,30623,2679,1580,5970
2020,2,Jujuy,45686,41079,3594,2120,8010
2020,2,La Pampa,70628,63505,5556,3280,1239
2020,2,La Rioja,29306,26351,2305,1360,5140
2020,2,Mendoza,196388,176583,15449,9110,3445
2020,2,Misiones,85762,77112,6747,3980,1505
2020,2,NeuquÃ©n,74546,67028,5864,3460,1308
2020,2,RÃ­o Negro,84513,75990,6648,3920,1483
2020,2,Salta,101610,91363,7993,4710,1783
2020,2,San Juan,74837,67290,5887,3470,1313
2020,2,San Luis,34431,30958,2709,1600,6040
2020,2,Santa Cruz,27239,24492,2143,1260,4780
2020,2,Santa Fe,592374,532634,46601,2747,10392
2020,2,Santiago del Estero,66338,59647,5219,3080,1164
2020,2,Tierra del Fuego,21573,19398,1697,1000,3780
2020,2,TucumÃ¡n,181343,163055,14266,8410,3181
2020,1,Buenos Aires,3261264,2925747,261533,14423,59561
2020,1,Capital Federal,1456196,1306383,116778,644,26595
2020,1,Catamarca,29743,26683,2385,1320,5430
2020,1,Chaco,84041,75394,674,3720,1535
2020,1,Chubut,78692,70596,6311,3480,1437
2020,1,CÃ³rdoba,574075,515015,46037,2539,10484
2020,1,Corrientes,87649,78631,7029,3880,1601
2020,1,Entre RÃ­os,186835,167614,14983,8260,3412
2020,1,Formosa,34562,31006,2772,1530,6310
2020,1,Jujuy,47985,43049,3848,2120,8760
2020,1,La Pampa,70733,63456,5672,3130,1292
2020,1,La Rioja,27079,24292,2172,1200,4950
2020,1,Mendoza,210725,189045,16899,9320,3849
2020,1,Misiones,90832,81487,7284,4020,1659
2020,1,NeuquÃ©n,77487,69515,6214,3430,1415
2020,1,RÃ­o Negro,88260,79180,7078,3900,1612
2020,1,Salta,107506,96447,8621,4750,1963
2020,1,San Juan,78502,70426,6295,3470,1434
2020,1,San Luis,36334,32595,2914,1610,6640
2020,1,Santa Cruz,29360,26340,2354,1300,5360
2020,1,Santa Fe,624563,560308,50086,2762,11407
2020,1,Santiago del Estero,67237,60320,5392,2970,1228
2020,1,Tierra del Fuego,23550,21127,1889,1040,4300
2020,1,TucumÃ¡n,182424,163656,14629,8070,3332
2019,4,Buenos Aires,3348525,2994702,266943,14902,71978
2019,4,Capital Federal,1478871,1322606,117895,6581,31789
2019,4,Catamarca,31113,27826,248,1380,6690
2019,4,Chaco,86928,77742,693,3870,1869
2019,4,Chubut,81784,73142,652,3640,1758
2019,4,CÃ³rdoba,604424,540558,48184,269,12992
2019,4,Corrientes,89969,80463,7172,4000,1934
2019,4,Entre RÃ­os,191513,171277,15267,8520,4117
2019,4,Formosa,35319,31587,2816,1570,7590
2019,4,Jujuy,49460,44234,3943,2200,1063
2019,4,La Pampa,71332,63795,5687,3170,1533
2019,4,La Rioja,28349,25354,226,1260,6090
2019,4,Mendoza,218661,195556,17432,9730,47
2019,4,Misiones,93753,83847,7474,4170,2015
2019,4,NeuquÃ©n,78963,70620,6295,3510,1697
2019,4,RÃ­o Negro,91113,81486,7263,4050,1959
2019,4,Salta,110873,99158,8839,4930,2383
2019,4,San Juan,80524,72016,6419,3580,1731
2019,4,San Luis,37794,33801,3013,1680,8120
2019,4,Santa Cruz,30409,27196,2424,1350,6540
2019,4,Santa Fe,643060,575111,51264,2862,13823
2019,4,Santiago del Estero,68405,61178,5453,3040,147
2019,4,Tierra del Fuego,24283,21717,1936,1080,5220
2019,4,TucumÃ¡n,187391,167590,14939,8340,4028
2019,3,Buenos Aires,3414932,3058655,268169,14853,73255
2019,3,Capital Federal,1497396,1341174,117588,6513,32121
2019,3,Catamarca,32676,29267,2566,1420,7010
2019,3,Chaco,88269,79060,6932,3840,1893
2019,3,Chubut,83907,75153,6589,3650,18
2019,3,CÃ³rdoba,612366,548479,48088,2663,13136
2019,3,Corrientes,91158,81648,7159,3960,1955
2019,3,Entre RÃ­os,194253,173987,15254,8450,4167
2019,3,Formosa,35966,32214,2824,1560,7720
2019,3,Jujuy,50113,44885,3935,2180,1075
2019,3,La Pampa,63774,57121,5008,2770,1368
2019,3,La Rioja,29547,26464,232,1290,6340
2019,3,Mendoza,225668,202124,17721,9820,4841
2019,3,Misiones,95865,85864,7528,4170,2056
2019,3,NeuquÃ©n,80350,71967,631,3490,1724
2019,3,RÃ­o Negro,94207,84378,7398,4100,2021
2019,3,Salta,113707,101844,8929,4950,2439
2019,3,San Juan,82462,73858,6476,3590,1769
2019,3,San Luis,39274,35177,3084,1710,8420
2019,3,Santa Cruz,32023,28682,2515,1390,6870
2019,3,Santa Fe,647965,580363,50884,2818,139
2019,3,Santiago del Estero,69371,62133,5448,3020,1488
2019,3,Tierra del Fuego,25143,22521,1974,1090,5390
2019,3,TucumÃ¡n,192297,172235,15101,8360,4125
2019,2,Buenos Aires,3348525,2994702,266943,14902,71978
2019,2,Capital Federal,1478871,1322606,117895,6581,31789
2019,2,Catamarca,31113,27826,248,1380,6690
2019,2,Chaco,86928,77742,693,3870,1869
2019,2,Chubut,81784,73142,652,3640,1758
2019,2,CÃ³rdoba,604424,540558,48184,269,12992
2019,2,Corrientes,89969,80463,7172,4000,1934
2019,2,Entre RÃ­os,191513,171277,15267,8520,4117
2019,2,Formosa,35319,31587,2816,1570,7590
2019,2,Jujuy,49460,44234,3943,2200,1063
2019,2,La Pampa,71332,63795,5687,3170,1533
2019,2,La Rioja,28349,25354,226,1260,6090
2019,2,Mendoza,218661,195556,17432,9730,47
2019,2,Misiones,93753,83847,7474,4170,2015
2019,2,NeuquÃ©n,78963,70620,6295,3510,1697
2019,2,RÃ­o Negro,91113,81486,7263,4050,1959
2019,2,Salta,110873,99158,8839,4930,2383
2019,2,San Juan,80524,72016,6419,3580,1731
2019,2,San Luis,37794,33801,3013,1680,8120
2019,2,Santa Cruz,30409,27196,2424,1350,6540
2019,2,Santa Fe,643060,575111,51264,2862,13823
2019,2,Santiago del Estero,68405,61178,5453,3040,147
2019,2,Tierra del Fuego,24283,21717,1936,1080,5220
2019,2,TucumÃ¡n,187391,167590,14939,8340,4028
2019,1,Buenos Aires,3563157,3149299,280518,14901,118439
2019,1,Capital Federal,1599798,1413982,125948,6691,53177
2019,1,Catamarca,36178,31976,2848,1510,1203
2019,1,Chaco,93703,82819,7377,3920,3115
2019,1,Chubut,88768,78458,6988,3710,2951
2019,1,CÃ³rdoba,656248,580025,51665,2744,21814
2019,1,Corrientes,95050,84010,7483,3980,3159
2019,1,Entre RÃ­os,203743,180079,1604,8520,6772
2019,1,Formosa,37799,33409,2976,1580,1256
2019,1,Jujuy,51824,45804,408,2170,1723
2019,1,La Pampa,65887,58234,5187,2760,219
2019,1,La Rioja,32830,29017,2585,1370,1091
2019,1,Mendoza,241006,213013,18974,1008,8011
2019,1,Misiones,101672,89863,8004,4250,338
2019,1,NeuquÃ©n,83521,73821,6575,3490,2776
2019,1,RÃ­o Negro,100373,88715,7902,4200,3336
2019,1,Salta,122902,108627,9676,5140,4085
2019,1,San Juan,85905,75928,6763,3590,2855
2019,1,San Luis,42908,37925,3378,1790,1426
2019,1,Santa Cruz,34171,30202,269,1430,1136
2019,1,Santa Fe,685178,605596,53942,2865,22775
2019,1,Santiago del Estero,72886,64420,5738,3050,2423
2019,1,Tierra del Fuego,25181,22257,1982,1050,8370
2019,1,TucumÃ¡n,206715,182705,16274,8650,6871
2018,4,Buenos Aires,4558545,4074597,332712,18514,132722
2018,4,Capital Federal,1753365,1567223,127972,7121,51049
2018,4,Catamarca,36970,33046,2698,1500,1076
2018,4,Chaco,95754,85588,6989,3890,2788
2018,4,Chubut,117520,105044,8577,4770,3422
2018,4,CÃ³rdoba,671019,599782,48975,2725,19537
2018,4,Corrientes,96921,86631,7074,3940,2822
2018,4,Entre RÃ­os,207407,185388,15138,8420,6039
2018,4,Formosa,38705,34596,2825,1570,1127
2018,4,Jujuy,52432,46865,3827,2130,1527
2018,4,La Pampa,76460,68342,5581,3110,2226
2018,4,La Rioja,33864,30268,2472,1380,9860
2018,4,Mendoza,360697,322404,26326,1465,10502
2018,4,Misiones,104246,93179,7609,4230,3035
2018,4,NeuquÃ©n,109166,97577,7968,4430,3178
2018,4,RÃ­o Negro,139693,124863,10196,5670,4067
2018,4,Salta,126296,112888,9218,5130,3677
2018,4,San Juan,115257,103021,8412,4680,3356
2018,4,San Luis,51830,46328,3783,2100,1509
2018,4,Santa Cruz,44277,39576,3232,1800,1289
2018,4,Santa Fe,697606,623546,50916,2833,20311
2018,4,Santiago del Estero,74168,66295,5413,3010,2159
2018,4,Tierra del Fuego,33372,29828,2436,1360,9720
2018,4,TucumÃ¡n,210346,188016,15352,8540,6124
2018,3,Buenos Aires,4492692,4011556,328786,17993,134357
2018,3,Capital Federal,1775534,1585386,129938,7111,53099
2018,3,Catamarca,37877,33820,2772,1520,1133
2018,3,Chaco,91629,81816,6706,3670,274
2018,3,Chubut,116981,104453,8561,4690,3498
2018,3,CÃ³rdoba,674653,602402,49373,2702,20176
2018,3,Corrientes,94809,84656,6938,3800,2835
2018,3,Entre RÃ­os,200199,178759,14651,8020,5987
2018,3,Formosa,39405,35185,2884,1580,1178
2018,3,Jujuy,53058,47376,3883,2120,1587
2018,3,La Pampa,75708,67601,554,3030,2264
2018,3,La Rioja,34553,30853,2529,1380,1033
2018,3,Mendoza,360459,321856,26379,1444,1078
2018,3,Misiones,103894,92768,7603,4160,3107
2018,3,NeuquÃ©n,97134,86731,7109,3890,2905
2018,3,RÃ­o Negro,139713,124750,10225,5600,4178
2018,3,Salta,129587,115710,9483,5190,3875
2018,3,San Juan,115192,102856,843,4610,3445
2018,3,San Luis,44305,39561,3242,1770,1325
2018,3,Santa Cruz,44198,39464,3235,1770,1322
2018,3,Santa Fe,672622,600589,49224,2694,20115
2018,3,Santiago del Estero,53667,47920,3927,2150,1605
2018,3,Tierra del Fuego,33372,29798,2442,1340,9980
2018,3,TucumÃ¡n,213747,190856,15643,8560,6392
